view,prot_dim,comp_dim,hdims,graph_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__adam__amsgrad,optimizer__adadelta__rho,optimizer__adagrad__lr_decay,optimizer__rmsprop__momentum,score
gconv,8421,1024,"[1622, 1447]",178,5,0.5641131356503174,32,512,512,adadelta,0.0022107192421923403,0.00018843755106932327,False,0.5614877135839194,True,0.00010810800375775247,0.07552626367417128,0.005206356472779414,-0.5551222322227404
gconv,8421,1024,"[4788, 2119, 4955]",180,5,0.45222137891012215,64,512,512,rmsprop,0.668328404278312,0.00012288183981058057,False,0.002431833945131782,True,0.00011421799206694493,0.001226577395031168,0.0008264268140497318,-0.5598292287374773
gconv,8421,1024,[2856],388,5,0.12674473508560702,512,512,512,sgd,0.022524129334138873,0.003161209501513,False,0.00024302321235440856,False,0.00017481388563869748,0.30350912570512867,0.3001309075172892,-0.5620852245298674
gconv,8421,1024,"[957, 4465]",174,5,0.01097576228975726,32,512,512,rmsprop,0.3489521258720723,0.00028638371509545667,True,0.0034945893959348806,True,0.00840562949068711,0.006926499382976032,0.05459701492529353,-0.5640758990851393
gconv,8421,1024,[2856],388,5,0.12674473508560702,512,512,512,sgd,0.022524129334138873,0.003161209501513,False,0.00024302321235440856,False,0.00017481388563869748,0.30350912570512867,0.3001309075172892,-0.5646117348015463
gconv,8421,1024,"[1622, 1447]",178,5,0.5641131356503174,32,512,512,adadelta,0.0022107192421923403,0.00018843755106932327,False,0.5614877135839194,True,0.00010810800375775247,0.07552626367417128,0.005206356472779414,-0.5686733220406649
gconv,8421,1024,"[2210, 3000, 3695]",65,5,0.018886466221431975,256,512,512,adam,0.3745586646584566,0.009809935909163748,True,0.006868447472708193,False,0.00010498490443410527,0.004593141967837462,0.00023401922752178987,-0.569933644645382
gconv,8421,1024,"[1090, 1027]",257,5,0.06501020676168912,64,512,512,rmsprop,0.09295781197226007,0.011846511162356582,True,0.000395452400128841,True,0.0014159717066162577,0.010588470199096608,0.0006475607514042443,-0.5754849720578948
gconv,8421,1024,"[4788, 2119, 4955]",180,5,0.45222137891012215,64,512,512,rmsprop,0.668328404278312,0.00012288183981058057,False,0.002431833945131782,True,0.00011421799206694493,0.001226577395031168,0.0008264268140497318,-0.5767354955619186
gconv,8421,1024,"[1622, 1447]",178,5,0.5641131356503174,32,512,512,adadelta,0.0022107192421923403,0.00018843755106932327,False,0.5614877135839194,True,0.00010810800375775247,0.07552626367417128,0.005206356472779414,-0.5790982813572415
gconv,8421,1024,"[1090, 1027]",257,5,0.06501020676168912,64,512,512,rmsprop,0.09295781197226007,0.011846511162356582,True,0.000395452400128841,True,0.0014159717066162577,0.010588470199096608,0.0006475607514042443,-0.5796370183137246
gconv,8421,1024,"[4630, 2620]",210,5,0.3160399723598393,512,512,512,adam,0.12019836871264854,0.03395929206784199,True,0.007888880685145533,False,0.03133912017090041,0.03117176044531168,0.0015738575372738267,-0.5817660738587074
gconv,8421,1024,"[2054, 2543]",157,5,0.5220572783170265,512,512,512,adam,0.48160524259892246,0.007596476697004327,False,0.00025849402360153615,True,0.0020093117834606385,0.0035231322400214125,0.24065426207172147,-0.5821377806230336
gconv,8421,1024,"[1622, 1447]",178,5,0.5641131356503174,32,512,512,adadelta,0.0022107192421923403,0.00018843755106932327,False,0.5614877135839194,True,0.00010810800375775247,0.07552626367417128,0.005206356472779414,-0.5852680377893201
gconv,8421,1024,"[1090, 1027]",257,5,0.06501020676168912,64,512,512,rmsprop,0.09295781197226007,0.011846511162356582,True,0.000395452400128841,True,0.0014159717066162577,0.010588470199096608,0.0006475607514042443,-0.5866244670902764
gconv,8421,1024,"[2210, 3000, 3695]",65,5,0.018886466221431975,256,512,512,adam,0.3745586646584566,0.009809935909163748,True,0.006868447472708193,False,0.00010498490443410527,0.004593141967837462,0.00023401922752178987,-0.5882876575269992
