attn_heads,attn_layers,lin_dims,output_dim,latent_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
8,1,"[1933, 818]",1,512,5,0.2205441981639574,256,128,128,sgd,0.020631733668954533,0.00010865056469534695,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 26, 'psc_dim': 8421, 'rnn_hidden_state_dim': 39}",{'update_pairs': False},{'dim': 273},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 437}",-0.6886799581956424
2,2,"[399, 756, 888]",1,256,5,0.46163485819470385,256,128,128,adagrad,0.00938426357068771,0.0048043943445570765,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 8, 'psc_dim': 8421, 'rnn_hidden_state_dim': 27}",{'update_pairs': False},{'dim': 497},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 377}",-0.8665534302071188
16,1,"[612, 504]",1,512,5,0.27923807806445083,256,128,128,adagrad,0.0008938907653670401,0.9481076265502332,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 45, 'psc_dim': 8421, 'rnn_hidden_state_dim': 30}",{'update_pairs': False},{'dim': 336},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 324}",-1.45172321790402
16,2,[246],1,256,5,0.4251979881543896,128,128,128,adamax,0.028300386771202637,0.005100811831211928,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 24, 'psc_dim': 8421, 'rnn_hidden_state_dim': 24}",{'update_pairs': False},{'dim': 226},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 484}",-3.0883864066715185
4,3,"[1745, 1649]",1,512,5,0.4639814708235811,128,128,128,adam,0.000425629951373882,0.576189808945051,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 35, 'psc_dim': 8421, 'rnn_hidden_state_dim': 6}",{'update_pairs': False},{'dim': 97},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 248}",-4.810715073875521
16,1,"[612, 504]",1,512,5,0.27923807806445083,256,128,128,adagrad,0.0008938907653670401,0.9481076265502332,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 45, 'psc_dim': 8421, 'rnn_hidden_state_dim': 30}",{'update_pairs': False},{'dim': 336},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 324}",-12.03652608231058
8,3,[525],1,256,5,0.17289826893255644,128,128,128,rmsprop,0.002142435655913873,0.33832708700374914,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 19, 'psc_dim': 8421, 'rnn_hidden_state_dim': 32}",{'update_pairs': False},{'dim': 256},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 212}",-19.408489252690163
8,3,[525],1,256,5,0.17289826893255644,128,128,128,rmsprop,0.002142435655913873,0.33832708700374914,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 19, 'psc_dim': 8421, 'rnn_hidden_state_dim': 32}",{'update_pairs': False},{'dim': 256},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 212}",-31.98382745695094
4,2,[504],1,512,5,0.41818131593120367,256,128,128,adam,0.01695401839860738,0.75359671779392,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 32, 'psc_dim': 8421, 'rnn_hidden_state_dim': 39}",{'update_pairs': False},{'dim': 75},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 427}",-37.01008726453651
8,2,"[806, 264]",1,512,5,0.41147118836670604,128,128,128,adagrad,0.3411683420046515,0.0010696498647980457,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 28, 'psc_dim': 8421, 'rnn_hidden_state_dim': 23}",{'update_pairs': False},{'dim': 411},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 312}",-39.356924561657245
